user_id,login_frequency,purchase_frequency,average_spent_time_on_site,average_purchase_value
1,50,5,20,200
2,60,10,30,300
3,40,7,25,250
4,70,15,45,450
5,55,8,35,350
6,65,12,40,400
7,45,6,30,300
8,75,20,50,500
9,35,4,15,150
10,80,25,55,550
11,50,10,30,300
12,60,12,32,320
13,40,8,28,280
14,70,18,48,480
15,55,9,36,360
16,65,14,42,420
17,45,7,34,340
18,75,22,52,520
19,35,5,18,180
20,80,24,54,540
21,60,11,31,310
22,50,9,29,290
23,70,16,46,460
24,55,10,37,370
25,65,13,43,430
26,45,8,33,330
27,75,21,51,510
28,35,6,17,170
29,80,26,56,560
30,50,12,30,300
31,60,11,31,310
32,40,7,27,270
33,70,17,47,470
34,55,9,37,370
35,65,13,43,430
36,45,8,33,330
37,75,21,51,510
38,35,6,17,170
39,80,26,56,560
40,50,12,30,300
41,60,11,31,310
42,40,7,27,270
43,70,17,47,470
44,55,9,37,370
45,65,13,43,430
46,45,8,33,330
47,75,21,51,510
48,35,6,17,170
49,80,26,56,560
50,50,12,30,300
