reward_id,reward_name,reward_category,points_required
1,Smartphone,Electronics,500
2,Book,Books,300
3,Gift Card,Food,200
4,Laptop,Electronics,1000
5,Headphones,Electronics,400
6,Tablet,Electronics,700
7,Cooking Class,Experiences,350
8,Concert Tickets,Experiences,800
9,Watch,Accessories,600
10,Sunglasses,Accessories,450
11,Backpack,Accessories,500
12,Smartwatch,Electronics,650
13,Camera,Electronics,900
14,Perfume,Accessories,350
15,Wallet,Accessories,300
16,Jewelry,Accessories,700
17,Spa Voucher,Experiences,500
18,Hotel Stay,Experiences,1200
19,Restaurant Voucher,Food,400
20,Streaming Subscription,Entertainment,200
21,Smartphone,Electronics,500
22,Book,Books,300
23,Gift Card,Food,200
24,Laptop,Electronics,1000
25,Headphones,Electronics,400
26,Tablet,Electronics,700
27,Cooking Class,Experiences,350
28,Concert Tickets,Experiences,800
29,Watch,Accessories,600
30,Sunglasses,Accessories,450
31,Smartphone,Electronics,500
32,Book,Books,300
33,Gift Card,Food,200
34,Laptop,Electronics,1000
35,Headphones,Electronics,400
36,Tablet,Electronics,700
37,Cooking Class,Experiences,350
38,Concert Tickets,Experiences,800
39,Watch,Accessories,600
40,Sunglasses,Accessories,450
41,Smartphone,Electronics,500
42,Book,Books,300
43,Gift Card,Food,200
44,Laptop,Electronics,1000
45,Headphones,Electronics,400
46,Tablet,Electronics,700
47,Cooking Class,Experiences,350
48,Concert Tickets,Experiences,800
49,Watch,Accessories,600
50,Sunglasses,Accessories,450
