user_id,reward_id,reward_category,points,preferred_reward_category
1,1,Electronics,500,Electronics
2,2,Books,300,Books
3,3,Food,200,Experiences
4,4,Electronics,600,Books
5,5,Electronics,400,Food
6,6,Experiences,350,Electronics
7,7,Experiences,700,Books
8,8,Experiences,450,Food
9,9,Accessories,250,Electronics
10,10,Accessories,800,Books
11,11,Electronics,500,Experiences
12,12,Books,300,Books
13,13,Food,200,Electronics
14,14,Electronics,600,Books
15,15,Electronics,400,Food
16,16,Experiences,350,Electronics
17,17,Experiences,700,Books
18,18,Experiences,450,Food
19,19,Accessories,250,Electronics
20,20,Accessories,800,Books
21,21,Electronics,500,Electronics
22,22,Books,300,Books
23,23,Food,200,Experiences
24,24,Electronics,600,Books
25,25,Electronics,400,Food
26,26,Experiences,350,Electronics
27,27,Experiences,700,Books
28,28,Experiences,450,Food
29,29,Accessories,250,Electronics
30,30,Accessories,800,Books
31,31,Electronics,500,Experiences
32,32,Books,300,Books
33,33,Food,200,Electronics
34,34,Electronics,600,Books
35,35,Electronics,400,Food
36,36,Experiences,350,Electronics
37,37,Experiences,700,Books
38,38,Experiences,450,Food
39,39,Accessories,250,Electronics
40,40,Accessories,800,Books
41,41,Electronics,500,Electronics
42,42,Books,300,Books
43,43,Food,200,Experiences
44,44,Electronics,600,Books
45,45,Electronics,400,Food
46,46,Experiences,350,Electronics
47,47,Experiences,700,Books
48,48,Experiences,450,Food
49,49,Accessories,250,Electronics
50,50,Accessories,800,Books
